title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Guardians of the Galaxy Vol. 2 (2017),Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/media/4K Movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,38209102158,35.58,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,135.8,37.52
Dunkirk (2017),Dunkirk (2017) {imdb-tt5013056} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Dunkirk (2017)/Dunkirk (2017) {imdb-tt5013056} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,21458316651,19.98,2160p,3840,2160,H.265,DTS-HD,DV HDR10,BluRay,,106.6,26.83
Indiana Jones and the Temple of Doom (1984),Indiana Jones and the Temple of Doom (1984) {imdb-tt0087469} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Indiana Jones and the Temple of Doom (1984)/Indiana Jones and the Temple of Doom (1984) {imdb-tt0087469} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,42585442314,39.66,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,118.4,47.94
Gladiator (2000),Gladiator (2000) {imdb-tt0172495} {edition-Extended Cut} [Remux-2160p][DV HDR10][DTS-X 7.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Gladiator (2000)/Gladiator (2000) {imdb-tt0172495} {edition-Extended Cut} [Remux-2160p][DV HDR10][DTS-X 7.1][HEVC]-FraMeSToR.mkv,74542741249,69.42,2160p,3840,2160,H.265,DTS:X,DV HDR10,Remux,,171.0,58.14
Gladiator (2000),Gladiator.2000.Extended.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/Gladiator (2000)/Gladiator.2000.Extended.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR.mkv,61270644150,57.06,2160p,3840,2160,H.265,DTS:X,,Remux,,170.9,47.79
Braveheart (1995),Braveheart (1995) {imdb-tt0112573} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Braveheart (1995)/Braveheart (1995) {imdb-tt0112573} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,68747347634,64.03,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,177.7,51.57
Star Trek Into Darkness (2013),Star Trek Into Darkness (2013) {imdb-tt1408101} {edition-Imax} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-Flights.mkv,/mnt/media/4K Movies/Star Trek Into Darkness (2013)/Star Trek Into Darkness (2013) {imdb-tt1408101} {edition-Imax} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-Flights.mkv,53441394136,49.77,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,132.1,53.94
Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day (1991) {imdb-tt0103064} {edition-Theatrical Cut} [Remux-2160p][PQ][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Terminator 2 Judgment Day (1991)/Terminator 2 Judgment Day (1991) {imdb-tt0103064} {edition-Theatrical Cut} [Remux-2160p][PQ][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,52621989422,49.01,2160p,3840,2160,H.265,DTS-HD,,Remux,,137.4,51.07
Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,/mnt/media/4K Movies/Terminator 2 Judgment Day (1991)/Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,52570884962,48.96,2160p,3840,2160,H.265,DTS-HD,,Remux,,137.1,51.11
The Wizard of Oz (1939),The Wizard of Oz (1939) {imdb-tt0032138} [Remux-2160p][DV HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/The Wizard of Oz (1939)/The Wizard of Oz (1939) {imdb-tt0032138} [Remux-2160p][DV HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,52060629211,48.49,2160p,3840,2160,H.265,DTS-HD,DV HDR10,Remux,,101.8,68.22
Ghostbusters (1984),Ghostbusters (1984) {imdb-tt0087332} - [Remux-2160p Proper][TrueHD Atmos 7.1][DV HDR10][HEVC]-BLURANiUM.mkv,/mnt/media/4K Movies/Ghostbusters (1984)/Ghostbusters (1984) {imdb-tt0087332} - [Remux-2160p Proper][TrueHD Atmos 7.1][DV HDR10][HEVC]-BLURANiUM.mkv,70039333456,65.23,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,105.1,88.82
Ghostbusters (1984),Ghostbusters.1984.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,/mnt/media/4K Movies/Ghostbusters (1984)/Ghostbusters.1984.2160p.UHD.BluRay.REMUX.HDR.HEVC.Atmos-EPSiLON.mkv,51038356876,47.53,2160p,3840,2160,H.265,,HDR,Remux,,105.1,64.73
Life of Pi (2012),Life.Of.Pi.2012.UHD.BluRay.2160p.DTS-HD.MA.7.1.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/Life of Pi (2012)/Life.Of.Pi.2012.UHD.BluRay.2160p.DTS-HD.MA.7.1.HEVC.REMUX-FraMeSToR.mkv,50102116470,46.66,2160p,3840,2160,H.265,DTS-HD MA,,Remux,,134.6,49.65
Joker (2019),Joker (2019) {imdb-tt7286456} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-MgB.mkv,/mnt/media/4K Movies/Joker (2019)/Joker (2019) {imdb-tt7286456} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-MgB.mkv,23432157203,21.82,2160p,3840,2076,H.265,TrueHD,HDR10,BluRay,,121.8,25.65
Apollo 13 (1995),Apollo.13.1995.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR-Scrambled.mkv,/mnt/media/4K Movies/Apollo 13 (1995)/Apollo.13.1995.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR-Scrambled.mkv,47378662184,44.12,2160p,3840,2160,H.265,DTS:X,,Remux,,140.3,45.01
Star Trek (2009),Star Trek (2009) {imdb-tt0796366} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,/mnt/media/4K Movies/Star Trek (2009)/Star Trek (2009) {imdb-tt0796366} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,46569446105,43.37,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,126.8,48.95
Hacksaw Ridge (2016),Hacksaw Ridge (2016) {imdb-tt2119532} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) {imdb-tt2119532} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,29643803153,27.61,2160p,3840,1612,H.265,TrueHD,DV HDR10,BluRay,,139.3,28.37
Iron Man 3 (2013),Iron Man 3 (2013) {imdb-tt1300854} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Iron Man 3 (2013)/Iron Man 3 (2013) {imdb-tt1300854} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,20136198908,18.75,2160p,3840,1600,H.265,TrueHD,DV HDR10,BluRay,,130.5,20.57
Guardians of the Galaxy (2014),Guardians of the Galaxy (2014) {imdb-tt2015381} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/media/4K Movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) {imdb-tt2015381} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,24168388098,22.51,2160p,3840,1600,H.265,TrueHD,DV HDR10,BluRay,,120.8,26.67
Mortal Kombat (2021),Mortal Kombat (2021) {imdb-tt0293429} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,/mnt/media/4K Movies/Mortal Kombat (2021)/Mortal Kombat (2021) {imdb-tt0293429} - [Bluray-2160p][TrueHD Atmos 7.1][HDR10][x265]-HQMUX.mkv,35584287696,33.14,2160p,3840,1608,H.265,TrueHD,HDR10,BluRay,,110.1,43.11
Batman Begins (2005),Batman Begins (2005) {imdb-tt0372784} [Hybrid][Remux-2160p][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Batman Begins (2005)/Batman Begins (2005) {imdb-tt0372784} [Hybrid][Remux-2160p][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,60651782016,56.49,2160p,3840,2160,H.265,DTS-HD,DV HDR10,Remux,,140.1,57.74
Saving Private Ryan (1998),Saving Private Ryan (1998) {imdb-tt0120815} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,/mnt/media/4K Movies/Saving Private Ryan (1998)/Saving Private Ryan (1998) {imdb-tt0120815} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,45747566259,42.61,2160p,3840,2160,H.265,TrueHD,HDR10,BluRay,,169.4,36.0
The Spy Who Loved Me (1977),The.Spy.Who.Loved.Me.1977.INTERNAL.2160p.WEB.H265-DEFLATE.mkv,/mnt/media/4K Movies/The Spy Who Loved Me (1977)/The.Spy.Who.Loved.Me.1977.INTERNAL.2160p.WEB.H265-DEFLATE.mkv,18698866016,17.41,2160p,3840,1634,H.265,,,,,125.7,19.83
Coco (2017),Coco (2017) {imdb-tt2380307} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Coco (2017)/Coco (2017) {imdb-tt2380307} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,43564378059,40.57,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,105.0,55.3
Raiders of the Lost Ark (1981),Raiders of the Lost Ark (1981) {imdb-tt0082971} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Raiders of the Lost Ark (1981)/Raiders of the Lost Ark (1981) {imdb-tt0082971} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,39627021282,36.91,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,115.3,45.82
Black Widow (2021),Black Widow (2021) {imdb-tt3480822} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Black Widow (2021)/Black Widow (2021) {imdb-tt3480822} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,28985005738,26.99,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,133.8,28.89
The Matrix Revolutions (2003),The.Matrix.Revolutions.2003.2160p.UHD.BluRay.TrueHD.7.1.DV.x265-W4NK3R.mkv,/mnt/media/4K Movies/The Matrix Revolutions (2003)/The.Matrix.Revolutions.2003.2160p.UHD.BluRay.TrueHD.7.1.DV.x265-W4NK3R.mkv,41180964383,38.35,2160p,3840,1600,H.265,TrueHD,DV,BluRay,,129.3,42.48
The Batman (2022),The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/The Batman (2022)/The Batman (2022) {imdb-tt1877830} [Bluray-2160p][DV HDR10Plus][TrueHD Atmos 7.1][x265]-MainFrame.mkv,38435873424,35.8,2160p,3840,1608,H.265,TrueHD,DV HDR10,BluRay,,176.2,29.09
The Lord of the Rings The Fellowship of the Ring (2001),The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.Extended.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/The Lord of the Rings The Fellowship of the Ring (2001)/The.Lord.of.the.Rings.The.Fellowship.of.the.Ring.2001.Extended.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,126023154932,117.37,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,228.2,73.63
The Lord of the Rings The Two Towers (2002),The.Lord.of.the.Rings.The.Two.Towers.2002.Extended.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/The Lord of the Rings The Two Towers (2002)/The.Lord.of.the.Rings.The.Two.Towers.2002.Extended.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,120576935820,112.3,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,235.4,68.29
Lawrence of Arabia (1962),Lawrence.of.Arabia.1962.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/Lawrence of Arabia (1962)/Lawrence.of.Arabia.1962.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.mkv,101519466348,94.55,2160p,3840,2160,H.265,TrueHD Atmos,,Remux,,227.0,59.62
The Hobbit The Desolation of Smaug (2013),The.Hobbit.The.Desolation.of.Smaug.2013.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/The Hobbit The Desolation of Smaug (2013)/The.Hobbit.The.Desolation.of.Smaug.2013.Extended.Cut.UHD.BluRay.2160p.TrueHD.Atmos.7.1.DV.HEVC.REMUX-FraMeSToR.mkv,84661155918,78.85,2160p,3840,2160,H.265,TrueHD Atmos,DV,Remux,,186.6,60.5
John Wick Chapter 2 (2017),John Wick Chapter 2 (2017) {imdb-tt4425200} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/media/4K Movies/John Wick Chapter 2 (2017)/John Wick Chapter 2 (2017) {imdb-tt4425200} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,37670413860,35.08,2160p,3840,1600,H.265,TrueHD,DV HDR10,BluRay,,122.4,41.04
The Dark Knight Rises (2012),The Dark Knight Rises (2012) {imdb-tt1345836} [Hybrid][Remux-2160p][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/The Dark Knight Rises (2012)/The Dark Knight Rises (2012) {imdb-tt1345836} [Hybrid][Remux-2160p][DV HDR10][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,75143310155,69.98,2160p,3840,2160,H.265,DTS-HD,DV HDR10,Remux,,164.5,60.89
Jaws (1975),Jaws (1975) {imdb-tt0073195} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,/mnt/media/4K Movies/Jaws (1975)/Jaws (1975) {imdb-tt0073195} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-HQMUX.mkv,40565884457,37.78,2160p,3840,1632,H.265,TrueHD,HDR10,BluRay,,123.9,43.64
V for Vendetta (2005),V for Vendetta (2006) {imdb-tt0434409} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/V for Vendetta (2005)/V for Vendetta (2006) {imdb-tt0434409} - [Hybrid][Remux-2160p][TrueHD Atmos 7.1][DV HDR10][HEVC]-FraMeSToR.mkv,70879699668,66.01,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,132.6,71.29
Rocketman (2019),Rocketman (2019) {imdb-tt2066051} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-HONE.mkv,/mnt/media/4K Movies/Rocketman (2019)/Rocketman (2019) {imdb-tt2066051} [Bluray-2160p][DV HDR10][EAC3 7.1][x265]-HONE.mkv,16498003158,15.36,2160p,3840,1604,H.265,DD+,DV HDR10,BluRay,,121.3,18.14
Inception (2010),Inception (2010) {imdb-tt1375666} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Inception (2010)/Inception (2010) {imdb-tt1375666} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-MainFrame.mkv,37933674703,35.33,2160p,3840,1600,H.265,DTS-HD,DV HDR10,BluRay,,148.1,34.14
Indiana Jones and the Kingdom of the Crystal Skull (2008),Indiana Jones and the Kingdom of the Crystal Skull (2008) {imdb-tt0367882} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Indiana Jones and the Kingdom of the Crystal Skull (2008)/Indiana Jones and the Kingdom of the Crystal Skull (2008) {imdb-tt0367882} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,35294505750,32.87,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,122.5,38.42
The Northman (2022),The Northman (2022) {imdb-tt11138512} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/media/4K Movies/The Northman (2022)/The Northman (2022) {imdb-tt11138512} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,43193089895,40.23,2160p,3840,1920,H.265,TrueHD,DV HDR10,BluRay,,136.9,42.07
Red Sparrow (2018),Red Sparrow (2018) {imdb-tt2873282} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Red Sparrow (2018)/Red Sparrow (2018) {imdb-tt2873282} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,22618511602,21.07,2160p,3840,1600,H.265,TrueHD,DV HDR10,BluRay,,140.2,21.5
Forrest Gump (1994),Forrest Gump (1994) {imdb-tt0109830} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Forrest Gump (1994)/Forrest Gump (1994) {imdb-tt0109830} [Bluray-2160p Proper][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,53760534887,50.07,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,142.1,50.43
Jurassic Park (1993),Jurassic Park (1993) {imdb-tt0107290} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,/mnt/media/4K Movies/Jurassic Park (1993)/Jurassic Park (1993) {imdb-tt0107290} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,45609385774,42.48,2160p,3840,2076,H.265,TrueHD,DV HDR10,BluRay,,126.5,48.08
Star Trek IV The Voyage Home (1986),Star Trek IV The Voyage Home (1986) {imdb-tt0092007} [Bluray-2160p Proper][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,/mnt/media/4K Movies/Star Trek IV The Voyage Home (1986)/Star Trek IV The Voyage Home (1986) {imdb-tt0092007} [Bluray-2160p Proper][DV HDR10][EAC3 7.1][x265]-hallowed.mkv,16834258858,15.68,2160p,3840,1632,H.265,DD+,DV HDR10,BluRay,,118.9,18.89
The Lost World Jurassic Park (1997),The Lost World Jurassic Park (1997) {imdb-tt0119567} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,/mnt/media/4K Movies/The Lost World Jurassic Park (1997)/The Lost World Jurassic Park (1997) {imdb-tt0119567} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-HiDt.mkv,35422366818,32.99,2160p,3840,2076,H.265,TrueHD,DV HDR10,BluRay,,128.7,36.71
The Hunt for Red October (1990),The Hunt for Red October (1990) {imdb-tt0099810} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/The Hunt for Red October (1990)/The Hunt for Red October (1990) {imdb-tt0099810} [Bluray-2160p][DV HDR10][TrueHD 5.1][x265]-W4NK3R.mkv,36940278530,34.4,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,135.1,36.45
The Martian (2015),The Martian (2015) {imdb-tt3659388} {edition-Extended Cut} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,/mnt/media/4K Movies/The Martian (2015)/The Martian (2015) {imdb-tt3659388} {edition-Extended Cut} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-CtrlHD.mkv,36010792184,33.54,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,151.4,31.72
The Hunger Games (2012),The Hunger Games (2012) {imdb-tt1392170} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/The Hunger Games (2012)/The Hunger Games (2012) {imdb-tt1392170} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,39079846422,36.4,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,143.0,36.44
The Predator (2018),The Predator (2018) {imdb-tt3829266} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/The Predator (2018)/The Predator (2018) {imdb-tt3829266} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,52158095787,48.58,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,107.0,65.02
The Fifth Element (1997),The Fifth Element (1997) {imdb-tt0119116} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/The Fifth Element (1997)/The Fifth Element (1997) {imdb-tt0119116} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,60818460405,56.64,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,126.5,64.11
Army of the Dead (2021),Army of the Dead (2021) {imdb-tt0993840} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,/mnt/media/4K Movies/Army of the Dead (2021)/Army of the Dead (2021) {imdb-tt0993840} [NF][WEBDL-2160p][DV HDR10][EAC3 Atmos 5.1][HEVC]-SiC.mkv,17232547210,16.05,2160p,3840,2160,H.265,DD+,DV HDR10,WEB-DL,,148.4,15.49
Captain America The Winter Soldier (2014),Captain America The Winter Soldier (2014) {imdb-tt1843866} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Captain America The Winter Soldier (2014)/Captain America The Winter Soldier (2014) {imdb-tt1843866} [Bluray-2160p][HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,26601071205,24.77,2160p,3840,1600,H.265,TrueHD,HDR10,BluRay,,135.9,26.1
Top Gun Maverick (2022),Top Gun Maverick (2022) {imdb-tt1745960} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Top Gun Maverick (2022)/Top Gun Maverick (2022) {imdb-tt1745960} {edition-Imax} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,32248071657,30.03,2160p,3840,2024,H.265,TrueHD,DV HDR10,BluRay,,130.2,33.01
The Chronicles of Riddick (2004),The Chronicles of Riddick (2004) {imdb-tt0296572} {edition-Director's Cut} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,/mnt/media/4K Movies/The Chronicles of Riddick (2004)/The Chronicles of Riddick (2004) {imdb-tt0296572} {edition-Director's Cut} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-SPHD.mkv,61111131462,56.91,2160p,3840,1600,H.265,DTS-HD,DV HDR10,BluRay,,134.1,60.77
Passengers (2016),Passengers (2016) {imdb-tt1355644} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Passengers (2016)/Passengers (2016) {imdb-tt1355644} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-FraMeSToR.mkv,51372981498,47.84,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,116.2,58.96
Alien (1979),Alien (1979) {imdb-tt0078748} {edition-Theatrical Cut} [Remux-2160p][HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Alien (1979)/Alien (1979) {imdb-tt0078748} {edition-Theatrical Cut} [Remux-2160p][HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,47557103047,44.29,2160p,3840,2160,H.265,DTS-HD,HDR10+,Remux,,116.6,54.37
Thor (2011),Thor (2011) {imdb-tt0800369} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-KeYBLaDE.mkv,/mnt/media/4K Movies/Thor (2011)/Thor (2011) {imdb-tt0800369} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-KeYBLaDE.mkv,23979236919,22.33,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,114.8,27.84
